Schulnummer;Schulname;Angemeldete SuS;Unterrichtete SuS;Unterrichtete Schulen;Freier Träger
08K08 ;Gemeinschaftsschule auf dem Campus Rütli - Grundstufe ;8;;;
08K10 ;Zuckmayer-Schule;24;20;;ProFellow – Verein für Bildungsprojekte e. V. 
08K11 ;Alfred-Nobel-Schule;6;;;
08K12 ;Kepler-Schule;39;;;
08S04 ;Schule am Zwickauer Damm;4;;;
08S08 ;Schilling-Schule;9;;;
08Y01 ;Albrecht-Dürer-Gymnasium;39;;;
08Y02 ;Albert-Schweitzer-Gymnasium;82;;;
08Y03 ;Albert-Einstein-Gymnasium;34;;;
08Y04 ;Ernst-Abbe-Gymnasiums;58;94;;Studierende machen Schule 
08Y05 ;Leonardo-da-Vinci-Gymnasium;36;;;
08Y06;Hannah-Arendt-Gymnasium;19;19;;Lernstudio Barbarossa Berlin Neukölln Rudow 
09G01;Bouché-Schule;27;35;;tjfbg gGmbH 
09G03;Grundschule am Heidekampgraben;3;;;
09G04;Sonnenblumen-Grundschule;13;13;;Studienkreis GmbH 
09G05;Schule am Ginkobaum;9;9;;Intellego 
09G06;Melli-Beese-Schule;8;8;;Intellego 
09G07;Schule an der alten Feuerwache;15;16;;tjfbg gGmbH 
09G10;Schule am Berg;8;;;
09G11;Schule am Pegasuseck;6;;;
09G13;Schule am Altglienicker Wasserturm;13;13;;tjfbg gGmbH 
09G14;Schule am Buntzelberg;15;45;;tjfbg gGmbH 
09G15;Schule am Mohnweg;24;;;tjfbg gGmbH 
09G16;Wendenschloss-Grundschule;15;;;Studienkreis GmbH 
09G17;Uhlenhorst-Grundschule;5;6;;Studienkreis GmbH 
09G18;Schule in der Köllnischen Vorstadt;44;40;;ZGS Bildungs-GmbH (Schülerhilfe) 
09G19;Amtsfeld-Schule;35;14;Amtsfeld-Grundschule, Müggelheimer-Grundschule, Wendenschloß- Grundschule und Müggelschlößchen- Grundschule ;Studienkreis GmbH 
09G20;Müggelheimer Grundschule;2;;;Studienkreis GmbH 
09G21;Edison-Grundschule;10;8;;tjfbg gGmbH 
09G22;Schule an der Wuhlheide;29;16;;tjfbg gGmbH 
09G24;Müggelsee-Schule;6;;;
09G25;Müggelschlößchen-Schule;5;;;Studienkreis GmbH 
09G26;Schule an den Püttbergen;18;;;
09G27;Friedrichshagener Schule;17;17;;Studierende machen Schule 
09G30;Kiefholz-Grundschule;7;7;;tjfbg gGmbH 
09K02;Anna-Seghers-Schule;18;10;;Studierende machen Schule 
09K03;Fritz-Kühn-Schule;34;;;tjfbg gGmbH 
09K04;Isaac-Newton-Schule;17;;;
09K05;Wilhelm-Bölsche-Schule;42;13;;Studienkreis GmbH 
09K06;Hans-Grade-Schule;17;;;
09K07;Sophie-Brahe-Schule;9;;;Studienkreis GmbH 
09K08;Schule an der Dahme;18;13;;Studienkreis GmbH 
09Y03;Archenhold-Gymnasium;15;16;;Studierende machen Schule 
09Y04;Anne-Frank-Gymnasium;69;52;;Studienkreis GmbH 
09Y05;Alexander-von-Humboldt-Gymnasium;16;;;
09Y06;Gerhart-Hauptmann-Gymnasium;Gesamtliste mit 09K05;;;Studienkreis GmbH 
09Y10;Gebrüder-Montgolfier-Gymnasium;18;24;;Studienkreis GmbH 
09Y11;Emmy-Noether-Gymnasium;38;16;;Studienkreis GmbH 
10A04;Victor-Klemperer-Kolleg;60;60;;Lehrreich Wilmersdorf 
10G01;Paavo-Nurmi-Schule;21;21;;Nachhilfe Berlin-Brandenburg 
10G03;Selma-Lagerlöf-Grundschule;48;48;;Nachhilfe Berlin-Brandenburg 
10G04;Falken-Grundschule;18;18;;Nachhilfe Berlin-Brandenburg 
10G07;Karl-Friedrich-Friesen-Grundschule;32;86;;tjfbg gGmbH 
10G08;Wilhelm-Busch-Grundschule;20;20;;Schlaufuchs eV 
10G09;Grundschule am Bürgerpark;50;;;
10G10;Peter-Pan-Grundschule;6;;;
10G11;Grundschule an der Mühle;9;;;
10G12;Grundschule an der Geißenweide;28;27;;Schlaufuchs eV 
10G13;Johann-Strauß-Schule;10;10;;Schlaufuchs eV 
10G14;Grundschule unter dem Regenbogen;44;41;;Schlaufuchs eV 
10G16;Fuchsberg-Grundschule;17;18;;Schlaufuchs eV 
10G17;Beatrix-Potter-Grundschule;30;16;;Studienkreis GmbH 
10G18;Pusteblume-Grundschule;160;48;;ZGS Bildungs-GmbH (Schülerhilfe) 
10G19;Bücherwurm-Schule am Weiher;9;;;
10G22;Kolibri-Grundschule;42;29;;Schlaufuchs eV 
10G25;Grundschule am Schleipfuhl;32;;;
10G26;Friedrich-Schiller-Gymnasium;1;;;
10G28;Grundschule am Hollerbusch;48;7;;tjfbg gGmbH 
10G30;Mahlsdorfer-Grundschule;3;3;;Schlaufuchs eV 
10G31;Franz-Carl-Achard-Grundschule;49;40;Franz-Carl-Achard- Grundschule und Mahlsdorfer Grundschule;
10G33;Ulmen-Grundschule;2;2;;Schlaufuchs eV 
